id,isi_berita,label
1,"Jakarta - Putri Kusuma Wardani percaya diri dengan komposisi beregu putri yang dipilih PBSI untuk Asian Games 2026. Dia juga menyebut chemistry satu sama lain sudah klop. Bulutangkis Indonesia mengirimkan 20 wakil untuk tampil di Aichi-Nagoya, 19 September hingga 4 Oktober mendatang. 10 Atlet di antaranya merupakan sektor beregu putri. Yaitu Putri KW, Thalita R. Wiryawan, Ni Kadek Dhinda, Mutiara Ayu Puspitasari, Rachel Allessya Rose, Febi Setianingrum, Febriana Dwipuji Kusuma, Meilysa Trias Puspitasari, Siti Fadia Silva Ramadhanti, dan Nita Violina Marwah. SCROLL TO CONTINUE WITH CONTENT Baca juga: Tekad Alwi Farhan Lampaui Batas di Asian Games 2026 Putri menilai komposisi skuad bulutangkis Indonesia yang mengombinasikan pemain senior dan junior, tidak menemukan kendala dalam membangun koneksi di dalam tim. ADVERTISEMENT Pengalaman berlaga bersama dalam beberapa kejuaraan beregu sebelumnya dinilai telah membentuk kekompakan antar-atlet. ""Dengan tim komposisi yang ada cukup kuat sih. Kita juga sudah lumayan dua atau tiga kali beregu bersama-sama, jadi sudah ketemu chemistry-nya di antara satu dan yang lain, baik tunggal maupun ganda,"" kata Putri dalam keterangannya dikutip Selasa (8/9/2026). Tak hanya itu, seluruh rangkaian program latihan di Pelatnas sejauh ini berjalan dengan lancar dan kondusif. Sampai menjelang hari keberangkatan menuju Jepang, porsi latihan tim nasional kini lebih difokuskan pada penguatan di masing-masing sektor di bawah arahan tim pelatih. ""Yang pasti, kekurangan dari pertandingan sebelumnya menuju pertandingan Asian Games lebih ditingkatkan lagi,"" tambahnya. Baca juga: Ini Dia 20 Pebulutangkis Indonesia di Asian Games 2026 Terkait peta persaingan di Asian Games 2026, Putri KW menilai kekuatan di sektor tunggal putri kawasan Asia tergolong sangat merata. Dia mewaspadai kekuatan para pemain dari negara-negara papan atas seperti China, Jepang, dan Korea Selatan. ""Kalau kekuatan sendiri di Asian Games menurut aku cukup merata ya dari Asia sendiri, terutama dari China, Jepang, dan Korea Selatan sih cukup kuat,"" tuturnya. Pebulutangkis peringkat ke-7 dunia itu memasang target tinggi pada ajang Asian Games 2026. Secara pribadi, Putri berambisi untuk dapat melangkah hingga ke babak akhir dan berdiri di atas podium. Hal ini juga sejalan dengan target medali yang dicanangkan oleh PP PBSI. ""Harapannya semoga tim bulu tangkis Indonesia bisa mendapatkan medali, dan terutama untuk pribadi aku sendiri, aku bisa menyumbangkan medali untuk Indonesia di ajang Asian Games,"" pungkas Putri. Lihat juga Video; Hong Kong Open 2024: Sabar/Reza dan Putri KW Tumbang di Final [Gambas:Video 20detik] (mcy/aff) ... Tautan telah disalin asian games 2026 putri kusuma wardani pbsi",sport
2,"Jakarta - Mata Derrick Michael Xzavierro berbinar saat berbicara soal Asian Games 2026. Dia akan mewujudkan mimpi masa kecilnya! ""Aku ingat terakhir kali menonton Asian Games itu saat digelar di Jakarta. Asian Games di Jakarta benar-benar seperti mimpi buat aku. Waktu itu aku masih SMA dan datang ke Gelora Bung Karno hanya untuk menonton. Suasananya benar-benar bagus, begitu juga dengan penontonnya,"" kata Derrick saat ditemui di Jakarta Selatan, Sabtu (6/9/2026). Tak ayal, saat mimpi itu terwujud, Derrick mengaku benar-benar antusias. Apalagi klub tempat ia bernaung saat ini, Saga Ballooners, mengizinkannya memperkuat Indonesia. SCROLL TO CONTINUE WITH CONTENT ""Aku antusias banget karena ini pertama kalinya aku tampil di Asian Games,"" ujarnya. ""Ini juga merupakan salah satu impianku sejak kecil untuk bisa bermain di Asian Games. Jadi, aku ingin membuat semuanya benar-benar berarti."" ADVERTISEMENT Baca juga: Asian Games 2026: Timnas Basket Masuk Grup Neraka, CdM Optimistis Di Asian Games, Derrick dan kawan-kawan langsung menghadapi tantangan besar. Ia akan melawan tuan rumah di Aichi-Nagoya pada 10 September 2026. Alih-alih gentar, Derrick justru makin semangat. Apalagi, Derrick sudah terbiasa dengan atmosfer basket Jepang. Kini ia akan merasakannya dengan jersey Merah Putih. ""Kami akan bermain melawan Jepang. Aku tahu arenanya akan sangat besar, salah satu arena terbesar di B.League. Jadi, aku sangat excited untuk bermain di sana,"" ujarnya. Baca juga: Ini Dia 20 Pebulutangkis Indonesia di Asian Games 2026 Tak hanya itu, Derrick juga semakin bersemangat karena rekan-rekannya di Jepang juga bakal mendukungnya secara penuh saat di Asian Games nanti. ""Oh iya, semua teman-teman saya di Jepang, B.League dan tim saya, benar-benar mendukung saya. Kemarin saya juga sempat latihan sekitar sebulan di sana. Mereka bilang, 'Kami akan menonton pertandinganmu. Lakukan yang terbaik. Kami akan mendukungmu.'"" ""Walaupun mereka berasal dari Jepang, mereka tetap mendukung saya sebagai salah satu pemain mereka. Jadi, saya sangat beruntung bisa berada di Saga juga. Mereka memberikan dukungan penuh kepada Indonesia,"" ujarnya. Pebasket berusia 23 tahun ini pun membeberkan target pribadinya dalam debutnya di Asian Games 2026. ""Target pribadi pastinya menang sebanyak-banyaknya dan memberikan kontribusi sebagus-bagusnya untuk tim. Semoga kami bisa memenangkan setiap pertandingan. Setidaknya kami bisa lolos ke grup berikutnya,"" kata Derrick. ""Untuk masyarakat Indonesia, aku sangat membutuhkan dukungan, full support. Jangan setengah-setengah dalam memberikan dukungan,"" ucapnya. Baca juga: Timnas Voli Putra dan Putri Indonesia Bidik 8 Besar Asian Games 2026 (mcy/aff) ... Tautan telah disalin asian games 2026 derrick michael basket",sport
3,"Jakarta - Marc Marquez masih harus beradaptasi dengan kondisi lengan kanan yang jauh dari normal. Dokter yang pernah mengoperasinya, Samuel Antuna, mengungkap kekuatan lengan tersebut kini hanya sekitar 50 persen. Antu̱a menjelaskan kondisi itu merupakan dampak dari berbagai cedera dan operasi yang dijalani Marc. Kecelakaan di MotoGP Indonesia tahun lalu menjadi titik balik karena kembali memperburuk kondisi lengan kanannya. ""Sebelum kecelakaan di Indonesia, dia baik-baik saja. Dia bisa balapan, tidak merasakan sakit dan tidak mengeluhkan apa pun. Kecelakaan itu mengubah semuanya,"" kata Antuna kepada El Periodico yang dilansir Motosan . SCROLL TO CONTINUE WITH CONTENT Baca juga: Crutchlow Pilih Ai Ogura Jadi Favorit Setelah Marc Marquez, Ini Alasannya Masalah Marc kemudian semakin rumit karena saraf radial di lengannya sempat tertekan serpihan tulang. Kondisi itu membuatnya kehilangan kendali atas lengan saat berada dalam posisi tertentu di atas motor dan berkontribusi terhadap sejumlah kecelakaan. ADVERTISEMENT Setelah menjalani operasi untuk mengatasi masalah tersebut, kondisinya membaik. Namun, kekuatan lengan kanannya tetap jauh di bawah lengan kiri. ""Dia memiliki latissimus dorsi yang kuat, tetapi secara mekanis terganggu. Hal yang sama berlaku pada teres major. Namun, masalah utamanya adalah dia kehilangan kekuatan pada bisep,"" ujar Antuna. Baca juga: Jadwal MotoGP San Marino 2026: Misi Marc Marquez Kejar Jorge Martin ""Lengan itu sangat terbatas dalam hal kekuatan, terutama pada bisep. Saya memperkirakan kekuatannya sekitar 50 persen dari kapasitasnya,"" lanjutnya. Antuna menegaskan Marc tidak kehilangan otot. Namun, sejumlah otot seperti trisep, latissimus dorsi, teres major, dan pektoralis mayor terdampak berbagai operasi sehingga mengalami perubahan dan sedikit atrofi. Kondisi tersebut membuat lengan kanan Marc tidak memiliki kekuatan yang sama dengan lengan kirinya. Meski begitu, pebalap Ducati itu mampu beradaptasi dengan keterbatasan fisiknya dan tetap kompetitif di MotoGP. (krs/yna) ... Tautan telah disalin marc marquez kondisi lengan kekuatan otot cedera olahraga motogp operasi lengan saraf radial adaptasi fisik kesehatan atlet bisep lemah",sport
4,"Jakarta - Momen debut di Asian Games 2026 tak mau disia-siakan Alwi Farhan. Pebulutangkis tunggal putra Indonesia itu bertekad habis-habisan menguras kemampuan demi hasil terbaik di Aichi-Nagoya. ""Saya selalu nge- push diri saya to the limit setiap harinya,"" kata Alwi dalam keterangannya, Selasa (8/9/2026). Bagi Alwi, Asian Games bukan turnamen biasa. Statusnya merupakan multievent terbesar se-Asia membuat atmosfernya terasa berbeda. SCROLL TO CONTINUE WITH CONTENT ""Semuanya sakral bagi saya dan bagi semuanya, karena kami sangat amat berambisi untuk mencapai target,"" kata pebulutangkis 21 tahun itu. Baca juga: Ini Dia 20 Pebulutangkis Indonesia di Asian Games 2026 ADVERTISEMENT Ia pun menyebut multievent ini sebagai panggung istimewa yang tidak semua orang bisa dapatkan. ""Di multievent ini tidak sembarang orang yang dipilih oleh Tuhan untuk bisa menjadi seorang juara. Selagi masih ada waktu, saya berdoa dan berusaha untuk bisa mendapatkan hasil terbaik,"" ucap Alwi. Duduk di peringkat 11 dunia BWF, Alwi mengaku sudah mematangkan seluruh aspek persiapan menjelang debutnya. ""Alhamdulillah sejauh ini persiapannya cukup bagus. Persiapan dari segi mental, fisik, dan pikiran menjadi fokus utama menjelang kejuaraan pesta olahraga Asia itu,"" jelasnya. Baca juga: Asian Games 2026: Bulutangkis Beregu Putra Jadi Asa Indonesia Raih Emas Dia pun berharap bisa melampaui batas maksimal kemampuannya saat bertanding nanti. Terlebih, PBSI mematok target emas di nomor beregu putra. Sementara untuk perorangan, Alwi memasang target pribadi yaitu medali. ""Di sektor ini semuanya bisa memberikan kejutan, baik yang di atas maupun di bawah. Jadi tidak menutup kemungkinan siapa pun bisa meraih gelar juara kalau dari dirinya sendiri memang siap dan matang dari segi mental,"" tuturnya. ""Mohon doa dan dukungannya,"" pungkas Alwi. Asian Games 2026 akan berlangsung di Aichi-Nagoya pada 19 September hingga 4 Oktober. Bulutangkis Indonesia menurunkan 20 wakilnya dari putra dan putri. Baca juga: Jonatan Christie Terima Tawaran PBSI Tampil di Asian Games 2026: Ini Targetnya Simak juga Video Alwi: Tak Pernah Terbayangkan Bisa Juara Indonesia Masters [Gambas:Video 20detik] (mcy/aff) ... Tautan telah disalin asian games 2026 alwi farhan pbsi",sport
5,"Jakarta - MotoGP 2026 akan berlanjut ke San Marino. Seri ke-14 musim ini akan digelar di Misano World Circuit Marco Simoncelli pada 11-13 September 2026. Jorge Martin untuk sementara masih memimpin klasemen MotoGP 2026. Tapi keunggulannya mulai tergerus setelah Marc Marquez tampil sempurna di Aragon. Marc berhasil memenangi Sprint dan balapan utama di Aragon. Sementara Martin hanya finis kelima di kedua sesi tersebut. SCROLL TO CONTINUE WITH CONTENT Hasil itu membuat Marc memangkas jarak dengan Martin menjadi 19 poin. Martin kini mengoleksi 256 poin, sedangkan Marc mengumpulkan 237 poin. Marco Bezzecchi berada di posisi ketiga dengan 232 poin. Balapan Aragon sendiri dimenangi Marc setelah tampil dominan. Ia meraih 25 poin dari balapan utama, sementara Martin hanya mendapat 11 poin. Data resmi MotoGP mencatat Marc finis pertama, Pedro Acosta kedua, Bezzecchi ketiga, dan Martin kelima. ADVERTISEMENT Dengan sembilan seri tersisa, persaingan perebutan gelar pun semakin terbuka. Marc Marquez kini hanya berjarak kurang dari satu kemenangan penuh dari Jorge Martin. Kini selisih keduanya hanya 19 poin. Bezzecchi juga belum bisa dicoret. Pebalap Aprilia itu hanya terpaut lima poin dari Marc dan 24 poin dari Martin. Artinya, tiga pebalap teratas masih berada dalam persaingan yang sangat ketat menuju paruh akhir musim. Baca juga: Duel 300 Km/Jam Marc Marquez Vs Bezzecchi di Aragon: Motor seperti Nempel Klasemen MotoGP 2026 Berikut klasemen sementara MotoGP 2026 setelah seri Aragon: Pos Pebalap Tim Poin 1 Jorge Martin Aprilia Racing 256 2 Marc Marquez Ducati Lenovo Team 237 3 Marco Bezzecchi Aprilia Racing 232 4 Fabio Di Giannantonio VR46 Ducati 208 5 Ai Ogura Trackhouse Aprilia 203 6 Pedro Acosta KTM 189 7 Raul Fernandez Trackhouse Aprilia 186 8 Francesco Bagnaia Ducati Lenovo Team 143 9 Alex Marquez Gresini Ducati 128 10 Fermin Aldeguer Gresini Ducati 90 MotoGP San Marino Digelar di Misano Seri San Marino berlangsung di Misano World Circuit Marco Simoncelli. Sirkuit tersebut memiliki panjang 4,23 kilometer, dengan 16 tikungan yang terdiri dari 10 tikungan kanan dan enam tikungan kiri. Balapan MotoGP dijadwalkan berlangsung selama 27 lap dengan total jarak 114,1 kilometer. Rangkaian akhir pekan dimulai pada Jumat (11/9), dilanjutkan kualifikasi dan Sprint pada Sabtu (12/9), kemudian balapan utama pada Minggu (13/9). Nah, berikut jadwal lengkapnya dalam Waktu Indonesia Barat (WIB) berdasarkan jadwal resmi MotoGP. MotoGP San Marino merupakan seri ke-14 dari kalender 2026 dan akan berlangsung di Misano pada 11-13 September. Baca juga: Marc Marquez Makin Dekat, Jorge Martin Akan Lawan! Jadwal MotoGP San Marino 2026 Jumat, 11 September 2026 Waktu WIB Kelas Sesi 14.00-14.35 Moto3 Free Practice 1 14.50-15.30 Moto2 Free Practice 1 15.45-16.30 MotoGP Free Practice 1 18.15-18.50 Moto3 Practice 19.05-19.45 Moto2 Practice 20.00-21.00 MotoGP Practice Sabtu, 12 September 2026 Waktu WIB Kelas Sesi 13.40-14.10 Moto3 Free Practice 2 14.25-14.55 Moto2 Free Practice 2 15.10-15.40 MotoGP Free Practice 2 15.50-16.05 MotoGP Qualifying 1 16.15-16.30 MotoGP Qualifying 2 17.45-18.00 Moto3 Qualifying 1 18.10-18.25 Moto3 Qualifying 2 18.40-18.55 Moto2 Qualifying 1 19.05-19.20 Moto2 Qualifying 2 20.00 WIB MotoGP Sprint, 13 lap Minggu, 13 September 2026 Waktu WIB Kelas Sesi 14.40-14.50 MotoGP Warm Up 16.00 WIB Moto3 Race, 20 lap 17.15 WIB Moto2 Race, 22 lap 19.00 WIB MotoGP Grand Prix, 27 lap (krs/ran) ... Tautan telah disalin hasil balapan aragon jadwal motogp san marino balapan motogp persaingan motogp klasemen motogp sirkuit misano motogp 2026 misano world circuit jorge martin marc marquez",sport
6,"Jakarta - Pelatih Timnas voli putra Indonesia, Reidel Toiran, memasang target medali di Asian Games 2026. Dia optimistis timnya bisa memberikan kejutan besar. Timnas voli putra Indonesia saat ini diperkuat 12 pemain. Sejumlah pemain berpengalaman tetap menjadi bagian dari skuad, di antaranya Dio Zulfikri, Farhan Halim, dan Fahri Septian. ""Target kami dapat medali. Anak-anak semangat semua. Jadi, optimis nanti kompetisi ini kita bisa surprise (memberi kejutan) besar,"" kata Reidel saat ditemui di Wisma Serba Guna, GBK, Rabu (9/9/2026). SCROLL TO CONTINUE WITH CONTENT Menurut Reidel, timnya masih menjalani latihan berat. Waktu kurang dari dua pekan akan dimanfaatkan untuk memaksimalkan kondisi fisik para pemain sebelum berangkat ke Asian Games 2026. ""Sekarang masih latihan berat, masih ada panjang latihan, jadi belum lepas fisik. Ya, maksimalkan waktu karena kita ada evaluasi fisik kurang. Sekarang di fase untuk memaksimalkan taktik kita,"" kata Reidel. ADVERTISEMENT Baca juga: Asian Games 2026: Banjir Landa Nagoya, Menpora Yakin Jepang Punya Plan B Reidel Waspadai Jepang, India, dan China Menyoal persaingan, Reidel menyebut Jepang, India, dan China bakal menjadi lawan berat Indonesia. Di sisi lain dia juga menilai performa timnya juga terus mengalami peningkatan. Indonesia sebelumnya berhasil menjuarai AVC Men's Cup 2026. Tim Merah Putih mengalahkan Korea Selatan 3-0 pada pertandingan final di India. ""Ya, ada tim-tim terbaik. Ada Jepang, ada India, ada China juga lumayan bagus. Dan kita sudah mulai naik,"" tuturnya. Pada Asian Games 2026, Indonesia tergabung di Pool B bersama Iran, Thailand, dan Kirgizstan. Reidel berharap dukungan masyarakat Indonesia untuk perjuangan timnas voli putra di Asian Games 2026. ""Ya, untuk masyarakat Indonesia terima kasih sampai sekarang sudah mendukung. Kami akan maksimal di pertandingan dan berharap maju,"" ujar Reidel. Baca juga: CdM Todotua: Kami Monitoring Terus Kondisi di Nagoya (mcy/krs) ... Tautan telah disalin timnas voli putra asian games 2026 medali reidel toiran olahraga indonesia persaingan voli pemain voli latihan fisik dukungan masyarakat avc men's cup 2026",sport
7,"Jakarta - Ketua Umum Komite Olimpiade Indonesia (KOI) , Raja Sapta Oktohari , memastikan atlet terlayani dengan baik setibanya di Nagoya, Jepang. Ini untuk menjawab kondisi yang tengah terjadi di kota tersebut. Nagoya tengah diterpa banjir besar yang mengakibatkan ratusan atlet Asian Games di Jepang dievakuasi dari tempat penginapan mereka. Bahkan, menurut prakiraan cuaca menunjukkan akan ada lebih banyak hujan dalam beberapa hari ke depan, padahal pertandingan Asian Games akan dimulai 10 September, dan pembukaan resmi multievent empat tahunan itu baru dilakukan 19 September. ""Hubungan kami dengan NOC Jepang cukup baik. Koordinasi tetap kami lakukan dan khusus Nagoya, tim CdM cukup intensif berkomunikasi, baik dengan pemerintahnya mapun LOC Aichi-Nagoya,"" kata Okto saat ditemui di Wisma Serba Guna, GBK, Rabu (9/9/2026). SCROLL TO CONTINUE WITH CONTENT ""InsyaAllah kita akan berupaya terus supaya ada kepastian para atlet bisa terlayani dengan baik,"" tambahnya. Baca juga: Asian Games 2026: Prabowo Janjikan Bonus Rp 3 M untuk Peraih Emas ADVERTISEMENT Selain banjir besar di wilayah Asian Games akan berlangsung, faktanya Indonesia juga diterpa tantangan lain. Mulai dari kebakaran di Kalimantan, banjir di Sumatra, hingga gunung erupsi di beberapa titik di Indonesia. Namun begitu, Okto berharap, tantangan ini bisa dijawab atlet dengan prestasi olahraga Indonesia. ""Kami menyampaikan kepada para atlet bahwa semua tantangan ini harus dijawab dengan prestasi. Harapannya dari prestasi itu bisa menjadi penguat semangat masyarakat Indonesia menghadapi semua tantangan yang sedang kita hadapi ini,"" ujarnya. ""Kita bangsa besar, kita tak mungkin akan menjadi kecil, cuma karena tantangan-tantangan ini. Jawabannya harus menang,"" tegas Okto. Okto juga menilai tim CdM memiliki rencana cadangan dalam setiap situasi yang dihadapi. Termasuk terkait Timnas basket yang turut berdampak karena adanya banjir besar di Nagoya. ""Hal seperti ini bukan pertama kali. Saya pernah jadi CdM di Olimpiade 2016, setiap situasi ada kondisi plan. Dan saya yakin pak Todotua Padaribu dari olahraga basket, sehingga saya sangat pede pasti setiap permasalahan akan dicarikan solusinya yang terbaik untuk para atletnya,"" tegasnya. Begitu pun soal skema keberangkatan tim Asian Games untuk kloter berikutnya. ""Skemanya memaksimalkan menyesuaikan keadaan. Bahwa kemarin pada saat mau berangkat airport ditutup, kami cari solusi dan komunikasikan dengan atlet dan ofisial. Jika mereka setuju dengan skema itu kami laksanakan karena yang paling utama memastikan pelayanan kepada atlet sehingga mereka bisa tampil maksimal,"" kata Okto. Baca juga: Asian Games 2026: Banjir Landa Nagoya, Menpora Yakin Jepang Punya Plan B Video Bicara Kesiapan Atlet untuk Asian Games, Mensesneg: Persiapan Sangat Baik Video Bicara Kesiapan Atlet untuk Asian Games, Mensesneg: Persiapan Sangat Baik (mcy/ran) ... Tautan telah disalin asian games 2026 raja sapta oktohari koi kontingen indonesia",sport
8,"Jakarta - Kontingen Indonesia bersiap menatap Asian Games 2026 di Jepang. Presiden RI, Prabowo Subianto , menjanjikan bonus Rp 3 miliar untuk peraih medali emas. Asian Games 2026 berlangsung di Aichi-Nagoya, Jepang. Ajang multi-event olahraga Asia itu akan resmi dibuka pada 19 September dan ditutup pada 4 Oktober 2026. Prabowo secara resmi melepas kontingen Indonesia di Istana Kepresidenan, Jakarta Pusat, Rabu (9/9/2026). Pada momen itu, Prabowo berpidato dan menyampaikan bonus untuk atlet peraih medali emas. SCROLL TO CONTINUE WITH CONTENT Baca juga: Rizki Juniansyah Siap Debut di Asian Games 2026, Naik Kelas ke 85 Kg [Gambas:Instagram] ADVERTISEMENT ""Dan saya nggak lupa, saya diberi laporan Pak Erick, pak untuk Sea Games medali emas dapat Rp 1 miliar, tapi ini Asian Games medali Rp 3 miliar,"" kata Prabowo. ""Tanya semua pemimpin olahraga yang kemarin medali perak, medali perunggu pun karier-kariernya kita semua percepat. Ada yang 'Pak saya sudah sekian tahun belum baik pangkat', termasuk pelatih-pelatih,"" sambungnya. Sebagai catatan, pada edisi Asian Games sebelumnya, pemerintah memberikan bonus kepada peraih emas nomor perorangan Rp 1.575.000.000, perak mendapatkan Rp 525.000.000, lalu perunggu mendapatkan Rp 262.500.000. Tidak hanya kepada atlet, pelatih dan asisten pelatih juga pada saat itu diganjar bonus oleh pemerintah. Jumlahnya untuk pelatih yang atletnya meraih medali emas perorangan/ganda sebesar Rp 472.500.000, kemudian perak Rp 157.500.000, sementara perunggu sebesar Rp 78.750.000. Baca juga: CdM Todotua: Kami Monitoring Terus Kondisi di Nagoya Video Bicara Kesiapan Atlet untuk Asian Games, Mensesneg: Persiapan Sangat Baik Video Bicara Kesiapan Atlet untuk Asian Games, Mensesneg: Persiapan Sangat Baik (ran/aff) ... Tautan telah disalin asian games 2026 prabowo subianto kontingen indonesia",sport
9,"Jakarta - Atletico Madrid akan menjadi ujian pertama Liverpool di Liga Champions 2026/27. Andoni Iraola sudah beberapa kali menghadapi Atletico-nya Diego Simeone dan tak pernah menang. Duel Liverpool vs Atletico di matchday 1 Liga Champions akan digelar di Anfield, Kamis (10/9/2026) dini hari WIB. Bagi Iraola, ini akan jadi laga debutnya di Liga Champions sebagai pelatih. Meski demikian, Atletico-nya Simeone bukan lawan yang asing untuk Iraola. Saat masih menangani Rayo Vallecano, Iraola tercatat empat kali menghadapi Atletico arahan Simeone. SCROLL TO CONTINUE WITH CONTENT Baca juga: Mac Allister Sedih Tak Ditawari Kontrak Baru di Liverpool Namun, Iraola tidak pernah menang dalam empat laga tersebut. Timnya kalah tiga kali dan imbang satu kali melawan Atletico-nya Simeone. ADVERTISEMENT ""Atleti adalah salah satu lawan paling berat yang akan kami hadapi. Tapi kami bermain melawan tim yang sangat bagus di Premier League,"" ujar Iraola di situs resmi UEFA. ""Saya cukup mengenal Atleti, dan beberapa pemainnya. Ini pertandingan yang luar biasa untuk Liga Champions pertama saya. Ini akan menunjukkan di mana posisi kami. Kami menunjukkan sinyal bagus (melawan Ipswich) di hari Jumat tapi kita lihat saja di mana posisi kami melawan Atleti."" ""Dia (Simeone) melakukan kerja yang sangat bagus sebagai manajer. Ini luar biasa dan menghadapinya jelas tantangan besar buat kami. Saya bermain menghadapinya sebagai pemain dan pelatih. Dia lebih berpengalaman daripada saya di pertandingan seperti ini, tapi saya harap besok kami bisa memberinya perlawanan yang bagus,"" kata Iraola. Baca juga: Isak Lagi 'Panas', Kini Kejar Gol Perdana bersama Liverpool di Liga Champions Video Liverpool Kejar Barcola, Iraola Tunggu Kabar Baik Video Liverpool Kejar Barcola, Iraola Tunggu Kabar Baik (nds/cas) liverpool atletico madrid andoni iraola liga champions diego simeone liverpool vs atletico",sport
10,"Jakarta - Manchester City sudah mendatangkan Enzo Fernandez . Pemain asal Argentina itu bahagia kembali di bawah arahan Enzo Maresca. Mulai musim panas tahun ini, Man City ditangani Maresca. Pep Guardiola hengkang, pelatih asal Italia itu yang dipilih untuk menjadi penerusnya. Belanja besar dilakukan Man City. Elliot Anderson, Ayyoub Bouaddi, dan Enzo Fernandez yang didatangkan tim Manchester Biru. SCROLL TO CONTINUE WITH CONTENT Baca juga: Chelsea Gagal Dapat Pengganti Enzo, Ini Kata Xabi Alonso Dana sebesar 125 juta poundsterling digelontorkan oleh Man City untuk menebus Enzo Fernandez dari Chelsea. Ia menjadi pemain Premier League termahal musim ini. ADVERTISEMENT Enzo Fernandez pun gembira bisa kembali satu tim dengan Maresca. Sebelumnya, keduanya memperkuat Chelsea dan sukses mempersembahkan trofi UEFA Conference League dan Piala Dunia Antarklub 2025. ""Saya sangat senang karena Enzo Maresca melakukan semua yang dia bisa untuk mewujudkan kepindahan ini. Dia sangat mengenal saya dari masa kami bersama di Chelsea, dan saya sangat bersyukur atas semua yang telah dia lakukan untuk saya dan keluarga saya,"" kata Enzo, dikutip dari BBC. Baca juga: Enzo Tak Ragu-ragu Terima Tawaran Man City ""Saya akan memberikan 100 persen di setiap sesi latihan dan di setiap pertandingan demi membalas budi kepadanya,"" kata dia menambahkan. Enzo Fernandez sudah bermain dua kali untuk Man City. Dia membela The Citizens di laga melawan Coventry City (1-0) dan FC Porto (2-0). Baca juga: Enzo Fernandez Ngomong Begini, Fans Chelsea Panas Nggak? Video: Chelsea Jual Enzo Fernandez ke Man City Seharga Rp 3 T Video: Chelsea Jual Enzo Fernandez ke Man City Seharga Rp 3 T (cas/nds) enzo fernandez manchester city enzo maresca liga inggris",sport
